gene	logfc	fdr
comp10172_c0_seq1_m.4607	0.100269135	0.97536335
comp10173_c1_seq1_m.35918	0.465064563	0.679699286
comp10175_c1_seq1_m.30050	0.303688172	0.670436878
comp10176_c0_seq1_m.4608	-0.011833142	0.991619675
comp10176_c0_seq1_m.4609	0.004883071	0.998257832
comp10177_c0_seq1_m.4611	-0.068643707	0.956023802
comp10178_c0_seq1_m.4612	-0.120734247	0.97137059
comp1018_c0_seq1_m.274	-0.291412083	0.869120324
comp10180_c0_seq1_m.26365	-0.046839975	0.985580906
comp10180_c0_seq1_m.26366	-0.104280521	0.980477634
comp10180_c0_seq1_m.26368	0.063795242	0.97402442
comp10180_c0_seq1_m.26369	-0.161076993	0.835122535
comp10180_c0_seq3_m.26370	0.010845671	0.992293317
comp10180_c0_seq3_m.26371	-0.046841084	0.985580906
comp10180_c0_seq3_m.26373	0.063797545	0.97402442
comp10180_c0_seq3_m.26374	-0.161079148	0.835122535
comp10181_c0_seq1_m.34115	8.945482374	8.55E-23
comp10181_c0_seq2_m.34116	8.945482358	8.55E-23
comp101849_c0_seq1_m.12860	-0.544190032	0.334594152
comp10185_c0_seq1_m.4613	4.597182939	2.62E-08
comp10186_c0_seq1_m.4614	-0.004877582	0.994645877
comp10187_c0_seq1_m.4615	0.560683577	0.666629542
comp10189_c0_seq1_m.4617	0.634871605	0.634057921
comp10190_c0_seq1_m.35408	0.014376593	0.993716066
comp10191_c0_seq1_m.4618	-0.244642871	0.848672338
comp10192_c0_seq1_m.4619	-0.206499187	0.727723018
comp10193_c0_seq1_m.23406	0.016282782	0.989361333
comp10194_c0_seq1_m.20888	0.121000018	0.884856507
comp10194_c0_seq2_m.20889	-0.190141999	0.729234578
comp10194_c0_seq2_m.20890	0.121002752	0.884856507
comp10195_c0_seq2_m.37319	0.050486923	0.960879813
comp10196_c0_seq1_m.4620	-0.096262095	0.899569833
comp10197_c0_seq1_m.4622	-0.284826047	0.802887201
comp101986_c0_seq1_m.12861	1.84410285	0.000130262
comp10199_c0_seq1_m.24243	0.023121335	0.984629355
comp101993_c0_seq1_m.12862	1.274424191	0.00359539
comp102_c0_seq1_m.22	-0.268342228	0.814297566
comp1020_c0_seq1_m.276	1.941984255	0.000295883
comp102006_c0_seq1_m.12863	0.767771148	0.386751661
comp10201_c0_seq1_m.18348	-0.171871604	0.896778815
comp10201_c0_seq2_m.18350	-0.018244094	0.995327406
comp10201_c0_seq5_m.18351	0.053738279	0.990683628
comp102014_c0_seq1_m.12864	0.686294469	0.08495626
comp10202_c0_seq1_m.28447	0.208909753	0.864705487
comp102025_c0_seq1_m.12865	-0.649220944	0.142687635
comp10203_c0_seq1_m.4623	-0.393438423	0.15329966
comp10204_c0_seq1_m.4624	-0.467672387	0.472555272
comp102045_c0_seq1_m.12866	-0.106630271	0.973813466
comp10206_c0_seq1_m.4626	0.090740672	0.875771455
comp102062_c0_seq1_m.12867	-1.591453516	7.17E-06
