lg	cm	id	sd
1 11.18 comp11877_c0_seq1_m.26345 Au
1 11.18 comp4860_c0_seq1_m.1514 Au
1 13.04 comp9953_c0_seq1_m.4461 Au
1 13.04 comp17775_c0_seq1_m.9755 Au
1 13.04 comp8997_c0_seq1_m.3850 Au
1 13.04 comp13940_c0_seq1_m.7224 Au
1 13.04 comp4132_c0_seq1_m.970 Au
1 13.04 comp13129_c0_seq1_m.6673 Au
1 13.04 comp12497_c0_seq1_m.6204 Au
1 13.04 comp23143_c0_seq1_m.10824 Au
1 13.04 comp16686_c0_seq1_m.18776 Au
1 13.04 comp15739_c0_seq1_m.8504 Au
1 13.04 comp16710_c0_seq1_m.9129 Au
1 13.04 comp15898_c0_seq1_m.8592 Au
1 13.04 comp18547_c0_seq1_m.10195 Au
1 13.04 comp10797_c0_seq2_m.21153 Au
1 13.04 comp103190_c0_seq1_m.12942 Au
1 13.04 comp9923_c0_seq1_m.4439 Au
1 13.04 comp15898_c0_seq1_m.8591 Au
1 13.04 comp17489_c0_seq1_m.9602 Au
1 13.04 comp14292_c0_seq1_m.7512 Au
1 13.04 comp13930_c0_seq1_m.7214 Au
1 13.04 comp17152_c0_seq1_m.38863 Au
1 13.04 comp13106_c1_seq1_m.15588 Au
1 13.04 comp11771_c0_seq1_m.5685 Au
1 13.04 comp13129_c0_seq1_m.6672 Au
1 13.04 comp9181_c1_seq1_m.31048 Au
1 13.04 comp5066_c0_seq1_m.1663 Au
1 13.04 comp14951_c0_seq1_m.16091 Au
1 13.04 comp4183_c0_seq1_m.999 Au
1 13.04 comp12230_c0_seq1_m.6015 Au
1 13.04 comp34544_c0_seq1_m.11182 Au
1 13.04 comp8566_c0_seq1_m.3567 Au
1 13.04 comp10278_c0_seq1_m.17393 Au
1 13.04 comp10349_c0_seq1_m.35096 Au
1 13.04 comp10272_c0_seq1_m.4671 Au
1 13.04 comp15074_c0_seq1_m.8037 Au
1 13.04 comp18721_c0_seq3_m.16811 Au
1 13.04 comp18502_c0_seq1_m.38183 Au
1 13.04 comp13009_c0_seq1_m.6601 Au
1 13.04 comp17376_c0_seq1_m.9522 Au
1 13.04 comp9016_c0_seq1_m.3863 Au
1 13.04 comp11676_c0_seq1_m.5621 Au
1 13.04 comp17545_c0_seq1_m.9623 Au
1 13.04 comp14427_c0_seq1_m.7595 Au
1 13.04 comp17775_c0_seq1_m.9756 Au
1 13.04 comp18274_c0_seq4_m.32276 Au
1 13.04 comp8850_c0_seq1_m.3750 Au
1 13.04 comp70817_c0_seq1_m.12053 Au
1 13.04 comp14496_c0_seq1_m.7642 Au
1 13.04 comp11275_c0_seq1_m.36430 Au
1 13.04 comp13086_c0_seq1_m.6653 Au
1 13.04 comp7240_c0_seq1_m.2811 Au
1 13.04 comp11732_c0_seq2_m.21122 Au
1 13.04 comp7909_c1_seq1_m.26860 Au
1 13.04 comp15647_c0_seq1_m.8447 Au
1 13.04 comp14560_c0_seq5_m.20895 Au
1 13.04 comp16357_c0_seq1_m.30100 Au
1 13.04 comp18456_c0_seq2_m.23646 Au
1 13.04 comp10032_c0_seq1_m.38860 Au
1 13.04 comp17641_c0_seq1_m.9674 Au
1 13.04 comp11637_c0_seq1_m.5589 Au
1 13.04 comp11322_c0_seq2_m.34641 Au
1 13.04 comp9310_c0_seq1_m.4056 Au
1 13.04 comp15476_c0_seq1_m.8320 Au
1 13.04 comp18274_c0_seq7_m.32278 Au
1 13.04 comp9764_c0_seq2_m.29202 Au
1 14.89 comp13294_c0_seq1_m.20453 Au
1 14.89 comp13766_c0_seq2_m.20117 Au
1 14.89 comp17737_c0_seq1_m.24805 Au
1 14.89 comp16047_c0_seq1_m.8700 Au
1 14.89 comp7703_c0_seq1_m.16620 Au
1 14.89 comp13114_c0_seq1_m.6661 Au
1 14.89 comp5396_c0_seq1_m.1829 Au
1 14.89 comp14372_c0_seq1_m.7560 Au
1 16.74 comp12093_c0_seq1_m.5918 Au
1 16.74 comp12949_c0_seq2_m.15292 Au
1 16.74 comp16343_c0_seq1_m.8877 Au
1 16.74 comp18343_c0_seq1_m.25447 Au
1 16.74 comp15362_c0_seq1_m.21320 Au
1 16.74 comp16657_c0_seq1_m.9096 Au
1 18.59 comp15878_c0_seq1_m.15984 Au
1 18.59 comp10642_c0_seq1_m.4923 Au
1 18.59 comp8931_c0_seq1_m.3804 Au
1 18.59 comp13507_c0_seq1_m.6948 Au
1 18.59 comp17681_c0_seq1_m.9698 Au
1 18.59 comp12993_c1_seq1_m.26433 Au
1 18.59 comp14051_c1_seq1_m.37737 Au
1 18.59 comp16357_c0_seq1_m.30099 Au
1 18.59 comp14051_c0_seq1_m.37738 Au
1 18.59 comp16306_c0_seq1_m.29313 Au
1 18.59 comp7922_c0_seq1_m.3214 Au
1 18.59 comp16584_c0_seq1_m.9047 Au
1 18.59 comp14414_c0_seq1_m.30460 Au
1 18.59 comp18839_c0_seq1_m.34027 Au
1 18.59 comp14685_c0_seq1_m.37497 Au
1 18.59 comp6715_c0_seq1_m.2485 Au
1 18.59 comp10951_c0_seq1_m.5138 Au
1 18.59 comp15000_c0_seq1_m.35789 Au
1 18.59 comp12863_c0_seq1_m.6472 Au
1 18.59 comp9280_c0_seq1_m.21490 Au
1 18.59 comp9088_c0_seq1_m.36314 Au
1 18.59 comp18809_c0_seq1_m.33780 Au
1 18.59 comp16900_c0_seq1_m.9236 Au
1 18.59 comp17597_c0_seq1_m.39172 Au
1 18.59 comp9437_c0_seq1_m.4135 Au
1 18.59 comp17017_c1_seq1_m.15735 Au
1 18.59 comp18977_c0_seq1_m.10430 f3m5_SL_f4m6_Au
1 18.59 comp14051_c2_seq1_m.37739 Au
1 18.59 comp11868_c0_seq1_m.34144 f3m5_SL_f4m6_Au
1 18.59 comp7564_c0_seq1_m.26220 Au
1 18.59 comp9437_c0_seq1_m.4136 Au
1 18.59 comp8277_c0_seq1_m.3397 Au
1 18.59 comp6684_c0_seq1_m.2465 Au
1 18.59 comp96370_c0_seq1_m.12770 Au
1 18.59 comp13634_c0_seq1_m.35784 Au
1 18.59 comp15153_c0_seq1_m.16040 Au
1 20.44 comp15077_c0_seq1_m.8040 Au
1 20.44 comp4026_c0_seq1_m.898 Au
1 20.44 comp54136_c0_seq1_m.11662 Au
1 20.44 comp11553_c0_seq1_m.15900 Au
1 20.44 comp17363_c0_seq1_m.33893 Au
1 22.30 comp11314_c0_seq1_m.18756 Au
1 22.30 comp14248_c2_seq1_m.33383 Au
1 22.30 comp27766_c0_seq1_m.11034 Au
1 22.30 comp9913_c0_seq1_m.4431 Au
1 22.30 comp12245_c0_seq1_m.25110 Au
1 22.30 comp14758_c0_seq1_m.36450 Au
1 24.15 comp7296_c0_seq1_m.2850 Au
1 24.15 comp17041_c0_seq1_m.9314 Au
